DATE,AVG USAGE
2018-08-01,40.28181818181818
2018-08-02,76.2909090909091
2018-08-03,70.89090909090909
2018-08-04,45.81818181818182
2018-08-05,39.85454545454545
2018-08-06,38.88181818181818
2018-08-07,70.15454545454546
2018-08-08,75.77272727272727
2018-08-09,76.83636363636364
2018-08-10,74.49090909090908
2018-08-11,44.6
2018-08-12,37.57272727272727
2018-08-13,71.60909090909091
2018-08-14,74.78181818181818
2018-08-15,72.37272727272727
2018-08-16,72.42727272727272
2018-08-17,68.84545454545454
2018-08-18,48.99090909090909
2018-08-19,38.85454545454545
2018-08-20,69.41441441441441
2018-08-21,73.70535714285714
2018-08-22,72.99107142857143
2018-08-23,72.22321428571429
2018-08-24,67.92857142857143
2018-08-25,34.348214285714285
2018-08-26,30.901785714285715
2018-08-27,70.91964285714286
2018-08-28,74.11607142857143
2018-08-29,74.74107142857143
2018-08-30,76.33928571428571
2018-08-31,72.16071428571429
2018-09-01,43.88392857142857
2018-09-02,37.9375
2018-09-03,69.46428571428571
2018-09-04,73.92857142857143
2018-09-05,73.89380530973452
2018-09-06,66.98230088495575
2018-09-07,72.04424778761062
2018-09-08,39.83185840707964
2018-09-09,39.02654867256637
2018-09-10,70.94690265486726
2018-09-11,74.39823008849558
2018-09-12,78.23893805309734
2018-09-13,77.76106194690266
2018-09-14,65.19469026548673
2018-09-15,41.424778761061944
2018-09-16,37.92920353982301
2018-09-17,71.39823008849558
2018-09-18,74.82300884955752
2018-09-19,68.96460176991151
2018-09-20,56.716814159292035
2018-09-21,69.10619469026548
2018-09-22,41.176991150442475
2018-09-23,37.64601769911504
2018-09-24,70.48672566371681
2018-09-25,77.67256637168141
2018-09-26,79.01769911504425
2018-09-27,76.34513274336283
2018-09-28,74.06194690265487
2018-09-29,44.097345132743364
2018-09-30,36.336283185840706
2018-10-01,71.26548672566372
2018-10-02,70.85840707964601
2018-10-03,77.56637168141593
2018-10-04,73.2280701754386
2018-10-05,73.12280701754386
2018-10-06,43.324561403508774
2018-10-07,33.473684210526315
2018-10-08,71.0701754385965
2018-10-09,75.33333333333333
2018-10-10,78.3859649122807
2018-10-11,74.23684210526316
2018-10-12,67.30701754385964
2018-10-13,28.25438596491228
2018-10-14,39.1578947368421
2018-10-15,70.39473684210526
2018-10-16,77.47368421052632
2018-10-17,74.69298245614036
2018-10-18,77.59649122807018
2018-10-19,73.12280701754386
2018-10-20,42.50877192982456
2018-10-21,34.21052631578947
2018-10-22,71.37719298245614
2018-10-23,74.04385964912281
2018-10-24,75.5701754385965
2018-10-25,76.9298245614035
2018-10-26,68.66666666666667
2018-10-27,35.921052631578945
2018-10-28,33.12280701754386
2018-10-29,32.98245614035088
2018-10-30,66.21052631578948
2018-10-31,63.271929824561404
2018-11-01,69.74561403508773
2018-11-02,63.473684210526315
2018-11-03,36.271929824561404
2018-11-04,31.605263157894736
2018-11-05,64.48245614035088
2018-11-06,64.51754385964912
2018-11-07,63.30701754385965
2018-11-08,71.02631578947368
2018-11-09,57.39473684210526
2018-11-10,38.12280701754386
2018-11-11,32.54385964912281
2018-11-12,68.85964912280701
2018-11-13,71.71929824561404
2018-11-14,73.53508771929825
2018-11-15,76.80701754385964
2018-11-16,70.76315789473684
2018-11-17,43.42982456140351
2018-11-18,35.63157894736842
2018-11-19,67.3859649122807
2018-11-20,59.95614035087719
2018-11-21,52.09649122807018
2018-11-22,70.25438596491227
2018-11-23,68.34210526315789
2018-11-24,38.60526315789474
2018-11-25,31.74561403508772
2018-11-26,66.12280701754386
2018-11-27,55.85087719298246
2018-11-28,65.12280701754386
2018-11-29,66.91228070175438
2018-11-30,65.2719298245614
2018-12-01,32.666666666666664
2018-12-02,31.219298245614034
2018-12-03,66.84210526315789
2018-12-04,68.41228070175438
2018-12-05,64.75438596491227
2018-12-06,71.45614035087719
2018-12-07,62.70175438596491
2018-12-08,31.210526315789473
2018-12-09,30.982456140350877
2018-12-10,63.94736842105263
2018-12-11,69.47368421052632
2018-12-12,68.21052631578948
2018-12-13,65.96491228070175
2018-12-14,63.12280701754386
2018-12-15,24.403508771929825
2018-12-16,32.1578947368421
2018-12-17,63.42982456140351
2018-12-18,64.94736842105263
2018-12-19,69.86842105263158
2018-12-20,66.64035087719299
2018-12-21,59.69298245614035
2018-12-22,35.07017543859649
2018-12-23,22.45614035087719
2018-12-24,30.74561403508772
2018-12-25,10.956140350877194
2018-12-26,16.57017543859649
2018-12-27,30.473684210526315
2018-12-28,33.75438596491228
2018-12-29,27.789473684210527
2018-12-30,27.63157894736842
2018-12-31,35.85964912280702
2019-01-01,17.92982456140351
2019-01-02,54.54385964912281
2019-01-03,60.24561403508772
2019-01-04,59.29824561403509
2019-01-05,35.14912280701754
2019-01-06,32.578947368421055
2019-01-07,63.01754385964912
2019-01-08,67.15789473684211
2019-01-09,68.79824561403508
2019-01-10,65.46491228070175
2019-01-11,65.57894736842105
2019-01-12,37.026315789473685
2019-01-13,29.07017543859649
2019-01-14,66.39473684210526
2019-01-15,70.43859649122807
2019-01-16,67.60526315789474
2019-01-17,68.59649122807018
2019-01-18,65.85087719298245
2019-01-19,35.59649122807018
2019-01-20,29.37719298245614
2019-01-21,61.10526315789474
2019-01-22,66.06140350877193
2019-01-23,67.39473684210526
2019-01-24,63.51754385964912
2019-01-25,68.83185840707965
2019-01-26,31.513274336283185
2019-01-27,28.707964601769913
2019-01-28,63.38053097345133
2019-01-29,64.8141592920354
2019-01-30,68.88495575221239
2019-01-31,56.663716814159294
2019-02-01,64.070796460177
2019-02-02,36.4070796460177
